student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
s1,moderate,yes,3,5,3,5,5,5,"I think that it is a better tool than the others used before during my previous annotations on Metatron for example. The two texts, one annotated and one not, were useful for me, instead of only one being annotated.","The part of the annotation table of the tool can be, in my opinion, more intuitive, for example using the different colours of the text’s annotations."
s2,moderate,yes,4,5,5,5,5,5,"particularly useful to be able to annotate discontinuous and overlapping terms. The option to create custom labels, rather than being limited to predefined ones, was also very valuable. Additionally, having all the information clearly organized in a table makes it much easier to understand and work with.","I think it would be helpful to have already annotated terms highlighted directly in the text input as well. This way, I wouldn’t have to constantly compare the two and risk losing track while navigating the text."
s3,limited,yes,4,4,2,5,3,4,The fact that we could separately select fragments of composite terms and then save the composite. The colors help.,"For term labels, I would provide a list of choices among which to choose the correct one, otherwise consistency may be at risk (as any of us has free choice to fill in with any words). 
It could be useful if every term label had a specific color, so that only by looking at the preview we can immediately identify the label. Or another option could be if there is just one specific color attributed correspondingly to simple, composite and overlapping terms. It could be useful if the tables below were also colored accordingly. 
It could be useful if, when hovering over a highlighted fragment, it shows its different annotations (one word may be part of different terms) one above the other with the corresponding colors. 
Showing the numbers “start” and “finish” could be confusing, as well as fragment_id. Maybe it could be shown inside the “i” (=information) icon, showing this precise information only when clicking on the icon. 
It could be useful if the buttons “back” and “forth” were provided, so that it’s easier when we need to delete something or we want to retrieve something we’ve just cancelled. 
"
s4,moderate,partially,4,3,3,3,4,4,No response,No response
s5,moderate,partially,4,3,5,3,5,4," “Delete by term id”, “delete last” and “reset”. ",I was doing the task with my iPad instead of my pc and I could not select more than one word to annotate them as “simple term” and consequently “overlapping term”. Except this device problem (which can be predictable) everything was user-friendly. 
s6,moderate,partially,4,3,3,3,5,4,The option delete last was useful and the overview was helpful to monitor my work. ,"It was difficult to do it by the I-pad, especially for the composite term and it could be easier do this if we can select the first and the last term without underlining them. The guidelines also could be more specific."
s7,moderate,partially,4,3,4,3,5,4,The “Delete by term_id:” as well as “reset” options was useful during the annotation task. ,"It can be confusing to manage overlapping annotations and keep track of which fragments belong to which annotation. Moreover, the guidelines can be more specific. "
s8,limited,partially,3,3,4,3,5,5,"The ease of adding terms. The presence of two interfaces showing the same text, which helps monitor annotation progress together with the summary, all on the same page.","I found the process of annotating terms within other terms not immediately intuitive, although very useful."
s9,moderate,partially,3,4,3,4,4,4,"It is useful to have all the functions on the left side of the interface, as well as the possibility to select individual fragments of composite terms. ",One improvement I would suggest is using the same color for each type of term. 
s10,moderate,yes,4,4,5,5,5,5,"The possibility of annotating overlapping and discontinuous terms. The list with the terms and their features at the bottom of the page. Having the tools on the left and the texts on the right. All the tools being visible at the same time on the screen (except “Edit annotations” and “Import” / “Export”, which wouldn’t be used while actively annotating, so it doesn’t matter). ",I haven’t encountered any issue. 
s11,limited,partially,3,4,4,4,5,5,The highlighted preview and the annotation tables helped me keep track of all the terms.,"The workflow for creating composite terms from fragments felt a bit complex, so I would simplify those steps."
s12,moderate,yes,5,4,5,5,5,5,"Both the possibility of annotating overlapping and discontinuous term, and the chart at the end of the screen. I also appreciate having the text on the right and the tools on the left. The warning “the term is already stored” is useful and fast when you don’t remember what you have already annotated. ",Everything is so clear and tidy. I would probably add a “save” or “log out” button.
s13,limited,partially,2,3,5,4,4,3,"The most useful aspects of the tool were the highlighted preview and the annotation tables, which made it easier to track the annotated terms. The possibility to annotate overlapping and nested terms was also particularly helpful. ","One difficulty I encountered was understanding how to correctly select and highlight fragments in the text. At the beginning, it was not always clear how to underline or mark the exact portions of text to be annotated."
s14,limited,partially,3,4,2,4,5,4,"Having the functions on the left side of the screen made it easy to annotate, rather than using the bar on the computer. Also, I would consider the fact that you can annotate different terms that are not contiguous the best feature of this tool.","I would choose only one color for each type of word annotated. 
Ex: yellow: simple terms; green: composite terms, rather than mixing colors. In this way, it would be faster for the user to understand which terms are which.
Once you add the label to one annotation, it stays there even if you annotate another term. I think it would be confusing for the user to still see the same label of the previous annotated term for the following selected term. "